Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu
1	0.8627847	0.1201626	0.1050839	0.0703869	0.0612329	0.1063337	0.0610906
500	0.3497319	0.1473587	0.1135230	0.0730942	0.0299341	0.1301483	0.0780059
1000	0.3477293	0.1363358	0.1343515	0.0802340	0.0717847	0.1360767	0.0368869
1500	0.2631533	0.1559036	0.0756119	0.0632793	0.0389393	0.0263099	0.2163202
2000	0.9577187	0.1240927	0.1194952	0.0644610	0.0551305	0.1057257	0.0728991
2500	0.8219823	0.1299464	0.0680018	0.0660598	0.0185111	0.1136747	0.0269221
3000	0.4267653	0.1211912	0.0817784	0.0791075	0.0128817	0.1138136	0.2186806
3500	0.6018318	0.1420682	0.0888287	0.0663579	0.0184221	0.0251322	0.0437648
4000	0.7654031	0.1162579	0.0887898	0.0744983	0.0742201	0.1056214	0.0330163
4500	0.5464979	0.1315871	0.0955259	0.0774087	0.0457358	0.0068209	0.1787859
5000	0.1640268	0.1423600	0.1173655	0.0762681	0.0727941	0.0855021	0.0672550
5500	0.1724514	0.1344126	0.0728343	0.0613157	0.0263191	0.0209653	0.0365260
6000	0.2545631	0.1306776	0.1268840	0.0728801	0.0143402	0.0518983	0.0757721
6500	0.2039258	0.1514598	0.1499508	0.0803319	0.0498358	0.1214681	0.1497149
7000	0.7705344	0.1301356	0.0802524	0.0695063	0.0469348	0.0190748	0.0356506
7500	0.4966470	0.1445988	0.0801056	0.0767071	0.0621807	0.1138373	0.0697706
8000	0.9216061	0.1211161	0.1068283	0.0788200	0.0336174	0.0223355	0.1412435
8500	0.5954436	0.1376954	0.0763326	0.0701085	0.0166586	0.0070266	0.1611414
9000	0.4415033	0.1426581	0.1281407	0.0768413	0.0069676	0.0352377	0.1482937
9500	0.9453504	0.1207921	0.1106430	0.0655576	0.0296237	0.0302347	0.0855582
10000	0.7026142	0.1233180	0.1114692	0.0666830	0.0073593	0.0479618	0.0493433
10500	0.3706380	0.1221490	0.0810010	0.0703488	0.0330760	0.0023477	0.1863370
11000	0.7126729	0.1192082	0.0822284	0.0752921	0.0506417	0.0565831	0.0638933
11500	0.6010005	0.1287085	0.0905324	0.0675837	0.0582213	0.0858097	0.0888315
12000	0.4633399	0.1502026	0.1431121	0.0800066	0.0704132	0.0211403	0.1006191
12500	1.0789947	0.1454954	0.1160486	0.0644014	0.0220281	0.0789510	0.1367064
13000	0.2305325	0.1276801	0.1071560	0.0709710	0.0653370	0.0690659	0.0735468
13500	0.8869588	0.1552115	0.1329843	0.0780133	0.0548379	0.0307182	0.1095304
14000	0.3592754	0.1361042	0.0999961	0.0751932	0.0068872	0.0331993	0.0812242
14500	0.4051901	0.1541572	0.1283577	0.0609343	0.0428075	0.0022826	0.0667719
15000	0.3355471	0.1343075	0.1069305	0.0700984	0.0263712	0.1032654	0.1040216
15500	0.5277810	0.1289396	0.0710445	0.0621260	0.0103115	0.0621786	0.0854340
16000	0.2727824	0.1300690	0.1121589	0.0603164	0.0044939	0.0000498	0.0499428
16500	0.6882586	0.1355946	0.1178905	0.0801804	0.0704394	0.0984392	0.0585411
17000	0.6407174	0.1545117	0.1313802	0.0644999	0.0237773	0.0635013	0.0558220
17500	0.7657394	0.1353496	0.1058044	0.0745548	0.0295954	0.0495419	0.1972018
18000	0.4223516	0.1498495	0.1177393	0.0747578	0.0021349	0.1337954	0.0365130
18500	0.1581413	0.1389737	0.1014056	0.0768658	0.0064930	0.0469528	0.1259135
19000	0.7536435	0.1414847	0.1242541	0.0717253	0.0009624	0.0396083	0.0883686
19500	0.4336612	0.1311682	0.1237874	0.0620216	0.0392998	0.0367186	0.0733780
20000	0.5823497	0.1306807	0.0854749	0.0797884	0.0413540	0.0710422	0.1720813
20500	0.6471808	0.1441291	0.0947844	0.0676006	0.0276518	0.1272372	0.1622163
21000	0.5878460	0.1337141	0.0714809	0.0624942	0.0354012	0.0647666	0.0312952
21500	0.2291634	0.1532205	0.1235904	0.0670496	0.0326076	0.1195697	0.1014317
22000	0.4950610	0.1569242	0.1530308	0.0678232	0.0455886	0.0731058	0.0772397
22500	0.3696365	0.1289969	0.0847972	0.0729092	0.0168377	0.0910140	0.0748035
23000	0.1761646	0.1557195	0.0724832	0.0671609	0.0601039	0.0981325	0.0775562
23500	0.5552061	0.1270241	0.0902683	0.0775409	0.0672553	0.0866634	0.0538414
24000	0.3176329	0.1228658	0.0786536	0.0628455	0.0080821	0.0794765	0.0930863
24500	0.9437066	0.1269084	0.1060272	0.0696971	0.0167004	0.0497659	0.0973431
25000	0.5738492	0.1343401	0.1263327	0.0707649	0.0133334	0.0959911	0.3655389
25500	0.3908505	0.1390048	0.1335143	0.0730600	0.0610303	0.1142961	0.0114482
26000	0.6904633	0.1458575	0.0899910	0.0669617	0.0149086	0.0967807	0.0849766
26500	0.7459503	0.1396513	0.1240118	0.0716759	0.0196568	0.0834340	0.0732442
27000	0.5306708	0.1605166	0.1137281	0.0785079	0.0688369	0.1045550	0.1195058
27500	0.5388374	0.1207286	0.0824171	0.0726595	0.0389255	0.0259547	0.0295192
28000	0.4503220	0.1299469	0.0907494	0.0767349	0.0385796	0.0781302	0.0884668
28500	0.3466301	0.1425545	0.1072135	0.0775832	0.0086682	0.0628457	0.1214895
29000	0.1862915	0.1329682	0.1148922	0.0715505	0.0544120	0.1287888	0.0201149
29500	0.4343033	0.1464688	0.1251062	0.0737912	0.0498467	0.1124443	0.0569485
30000	0.3064540	0.1380491	0.1057829	0.0755841	0.0170381	0.1058624	0.1262681
30500	0.4226511	0.1325006	0.0927511	0.0600462	0.0462451	0.0263713	0.0659190
31000	0.2879409	0.1180661	0.0866222	0.0696006	0.0615251	0.0167463	0.0675214
31500	0.9033099	0.1358890	0.0784158	0.0696713	0.0643691	0.1200419	0.1728386
32000	0.3302807	0.1289035	0.0916277	0.0777778	0.0714864	0.0583711	0.2683755
