Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu
1	0.5738731	0.1514752	0.0677902	0.0645752	0.0624910	0.0567086	0.2319557
500	0.6794082	0.1507875	0.0688150	0.0653473	0.0130557	0.0219038	0.0436691
1000	0.5398200	0.1239853	0.1179261	0.0776441	0.0702176	0.1078746	0.0740136
1500	0.4658599	0.1278848	0.0848782	0.0749578	0.0235475	0.0382251	0.2233889
2000	0.2794243	0.1354219	0.0970173	0.0778464	0.0486795	0.0760223	0.0272773
2500	0.3267693	0.1502755	0.1425177	0.0771126	0.0190078	0.0765334	0.0474837
3000	0.9971678	0.1367098	0.0979596	0.0780010	0.0506605	0.1227470	0.3030745
3500	0.6315713	0.1371253	0.0806633	0.0778326	0.0419618	0.0545090	0.2292942
4000	0.4865948	0.1408450	0.1018290	0.0696252	0.0322869	0.0332576	0.0336834
4500	0.3728361	0.1272378	0.0978725	0.0735048	0.0610418	0.0388460	0.0915407
5000	0.8192885	0.1382023	0.1067053	0.0703384	0.0669446	0.1357976	0.0918439
5500	0.6018253	0.1605698	0.1411246	0.0674592	0.0539237	0.0915859	0.0223796
6000	0.1438480	0.1196416	0.0678156	0.0601547	0.0450886	0.0101170	0.0861714
6500	0.5334547	0.1357783	0.0723089	0.0648964	0.0051735	0.0435627	0.1745132
7000	0.6377043	0.1202590	0.1081938	0.0626332	0.0361310	0.0665619	0.0461523
7500	0.4636850	0.1386614	0.0875456	0.0709132	0.0343170	0.0087637	0.0748034
8000	0.2884874	0.1294009	0.1132297	0.0599838	0.0109003	0.0829320	0.0662310
8500	0.2849327	0.1390284	0.0907705	0.0598477	0.0022455	0.1210764	0.2529078
9000	0.5386439	0.1449565	0.0835610	0.0661279	0.0579454	0.0043586	0.0900961
9500	0.4938764	0.1371424	0.1155526	0.0779898	0.0159526	0.1126237	0.1300480
10000	0.9822795	0.1240992	0.1160664	0.0665013	0.0123744	0.0320266	0.0653683
10500	0.2726068	0.1531507	0.0754380	0.0650097	0.0446752	0.0068707	0.1104514
11000	0.3447601	0.1576662	0.1102792	0.0698543	0.0144955	0.0392239	0.2720904
11500	0.3618465	0.1520626	0.0924095	0.0614294	0.0494653	0.0647290	0.0556682
12000	0.4585543	0.1235266	0.1069212	0.0785712	0.0542766	0.0672147	0.0917868
12500	0.9840262	0.1501902	0.0686062	0.0632258	0.0333598	0.0924332	0.1683657
13000	0.2411572	0.1324661	0.1025278	0.0767993	0.0300169	0.0882547	0.1158226
13500	0.6322535	0.1309437	0.1070957	0.0694939	0.0450060	0.0098688	0.2310882
14000	0.7641748	0.1237819	0.1131005	0.0788560	0.0205806	0.0896129	0.0280925
14500	0.2845966	0.1512428	0.0898246	0.0776353	0.0131513	0.0893349	0.0581016
15000	0.6225057	0.1520208	0.1172941	0.0695325	0.0286818	0.0032868	0.0360142
15500	0.9343553	0.1527158	0.0773523	0.0747976	0.0075072	0.0373610	0.4154202
16000	0.1433687	0.1381163	0.1372482	0.0716604	0.0242325	0.0218593	0.1673980
16500	0.6159596	0.1448966	0.1284545	0.0626836	0.0504320	0.0372445	0.2320524
17000	0.3382475	0.1497766	0.0842423	0.0613646	0.0017091	0.0275199	0.0126294
17500	0.2230990	0.1536763	0.0852766	0.0607361	0.0556642	0.0134784	0.1631562
18000	1.0030222	0.1536260	0.0786536	0.0761612	0.0525011	0.1497304	0.1308481
18500	0.2900754	0.1430684	0.1138334	0.0624173	0.0245924	0.0208053	0.0311033
19000	1.0613547	0.1554104	0.1425559	0.0775686	0.0123754	0.1333587	0.0105779
19500	0.5201114	0.1334961	0.0850788	0.0637100	0.0546301	0.0196542	0.0688516
20000	0.4111243	0.1536586	0.0851370	0.0625377	0.0385371	0.1430798	0.1363596
20500	0.7914571	0.1277405	0.1054736	0.0740960	0.0691660	0.0813264	0.1518996
21000	0.1576188	0.1239183	0.0684412	0.0632888	0.0478426	0.0132777	0.0380987
21500	0.9352453	0.1555133	0.0983866	0.0676408	0.0411269	0.1263023	0.2075087
22000	0.4841107	0.1528513	0.1383292	0.0649194	0.0034252	0.1409307	0.0773222
22500	0.9212791	0.1536292	0.0981185	0.0653256	0.0155247	0.0021614	0.1082916
23000	0.7669753	0.1217857	0.0960444	0.0798740	0.0571323	0.0812782	0.1047159
23500	0.8923468	0.1361596	0.1160476	0.0721306	0.0616935	0.0737214	0.0802017
24000	0.3206821	0.1337775	0.0865903	0.0701114	0.0192620	0.0968934	0.1943845
24500	0.3385547	0.1229742	0.0667622	0.0620109	0.0231388	0.1083412	0.2341586
25000	0.7203201	0.1467144	0.1345423	0.0793581	0.0485366	0.1114920	0.0545828
25500	0.1901548	0.1383602	0.1140780	0.0629454	0.0329633	0.0971566	0.0425851
26000	1.0710804	0.1439406	0.1134831	0.0737252	0.0438618	0.0182333	0.0162370
26500	0.4747399	0.1357314	0.1345412	0.0733141	0.0159800	0.0739573	0.1426785
27000	0.6483827	0.1569866	0.1521909	0.0781186	0.0575967	0.0553940	0.0485469
27500	0.4172043	0.1328787	0.0800259	0.0715262	0.0324940	0.0153151	0.0416722
28000	0.2664658	0.1600852	0.1428374	0.0694714	0.0686467	0.0234037	0.0096336
28500	0.1487652	0.1240646	0.0856023	0.0677666	0.0487966	0.0928880	0.0674353
29000	0.5766925	0.1206457	0.0889480	0.0775190	0.0122123	0.0289144	0.1072453
