Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu	sigma2	lnL
1	0.1579477	0.1529956	0.1017553	0.0710878	0.0277123	0.0612719	0.7989372	0.0146113	-3.718
500	0.1735980	0.1523411	0.1056588	0.0770136	0.0302132	0.0533276	0.7426382	0.0049752	-3.589
1000	0.1716363	0.1506561	0.0914125	0.0693482	0.0279045	0.0542575	0.8376133	0.0031913	-6.136
1500	0.1668511	0.1506265	0.0945297	0.0743675	0.0265232	0.0558517	0.8828454	0.0419476	-1.734
2000	0.1731465	0.1550987	0.1096362	0.0779719	0.0365609	0.0522707	0.7556335	0.0071193	-4.514
2500	0.1692463	0.1532141	0.1026367	0.0767398	0.0317845	0.0534129	0.7877930	0.0023112	-2.761
3000	0.1835499	0.1575957	0.0972589	0.0718963	0.0269131	0.0504000	0.7610182	0.0138319	-4.523
3500	0.1738914	0.1597985	0.0987265	0.0702844	0.0266869	0.0560912	0.7886814	0.0021769	-4.113
4000	0.1892769	0.1578216	0.1027377	0.0786244	0.0292963	0.0559695	0.7395536	0.0001784	-7.678
4500	0.1631888	0.1604056	0.1041726	0.0768089	0.0302994	0.0555284	0.7679489	0.0076268	-5.248
5000	0.1860659	0.1562349	0.1027686	0.0797921	0.0273547	0.0493726	0.8118772	0.0069356	-5.443
5500	0.1685054	0.1543790	0.0998981	0.0743172	0.0307538	0.0584391	0.7815086	0.0046847	-4.424
6000	0.1754758	0.1494011	0.0979128	0.0747597	0.0311116	0.0564815	0.7925548	0.0078725	-8.368
6500	0.1642679	0.1460672	0.1002269	0.0772114	0.0308556	0.0609439	0.7203206	0.0339588	-3.179
7000	0.1791426	0.1594059	0.1061904	0.0769632	0.0310635	0.0571845	0.7755970	0.0006564	-5.016
7500	0.1694366	0.1560422	0.1047409	0.0790311	0.0306563	0.0567646	0.7807592	0.0019064	-3.821
8000	0.1817628	0.1424568	0.1027643	0.0767858	0.0369565	0.0426009	0.6951979	0.0274966	-5.922
8500	0.1637885	0.1427138	0.0977556	0.0727432	0.0265427	0.0535306	0.8530338	0.0012478	-6.145
9000	0.2047183	0.1589610	0.1063192	0.0741260	0.0319796	0.0501257	0.6840457	0.0333230	-2.642
9500	0.1591205	0.1504895	0.0993448	0.0645964	0.0291520	0.0574602	0.8847011	0.0051887	-4.688
10000	0.1719534	0.1549828	0.0988203	0.0786563	0.0312379	0.0499355	0.6524265	0.0490230	-1.409
10500	0.1923801	0.1567565	0.1003898	0.0758464	0.0284245	0.0558791	0.7267490	0.0028371	-6.162
11000	0.1554705	0.1390536	0.0926908	0.0654153	0.0248962	0.0522728	0.8962472	0.0084030	-5.588
11500	0.1556072	0.1345262	0.0895209	0.0665768	0.0269091	0.0504640	0.8946355	0.0016554	-6.072
12000	0.1795677	0.1596005	0.1050550	0.0790818	0.0321081	0.0569773	0.7580471	0.0059360	-2.709
12500	0.1603544	0.1517333	0.0981229	0.0703170	0.0261175	0.0524238	0.8629099	0.0035799	-4.745
13000	0.1823520	0.1480884	0.0928312	0.0704473	0.0285740	0.0512181	0.7844608	0.0031504	-8.118
13500	0.1723676	0.1525735	0.1003468	0.0743415	0.0300105	0.0511137	0.8198066	0.0011247	-2.696
14000	0.1859012	0.1516766	0.1026569	0.0788750	0.0278991	0.0517307	0.7641642	0.0023051	-8.003
14500	0.1525912	0.1401124	0.0892524	0.0651539	0.0258472	0.0480794	0.9152975	0.0098951	-7.530
15000	0.1692460	0.1579935	0.1019360	0.0793518	0.0316466	0.0576301	0.7902322	0.0045629	-4.058
15500	0.1536538	0.1357497	0.0891163	0.0683289	0.0269850	0.0486831	0.8584784	0.0044286	-3.894
16000	0.1606127	0.1504272	0.0967306	0.0709383	0.0285656	0.0528681	0.8189290	0.0103250	-4.682
16500	0.1777581	0.1559503	0.1055244	0.0763499	0.0298567	0.0572938	0.7685663	0.0019490	-5.721
17000	0.1876144	0.1583609	0.1060708	0.0774011	0.0275224	0.0561836	0.7839553	0.0020977	-9.324
