Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu	sigma2	lnL
1	0.1658004	0.1527039	0.0932905	0.0675045	0.0265566	0.0494675	0.8361522	0.0007737	-5.233
500	0.1741787	0.1547384	0.0953934	0.0673590	0.0300229	0.0529770	0.7911594	0.0097861	-4.297
1000	0.1841447	0.1598529	0.1035684	0.0784371	0.0327014	0.0540795	0.6981368	0.0239871	-2.764
1500	0.1885149	0.1601538	0.1021509	0.0789749	0.0298429	0.0569616	0.7301919	0.0025267	-4.765
2000	0.1675392	0.1471767	0.1041854	0.0791893	0.0299048	0.0474678	0.7741491	0.0075442	-7.084
2500	0.1808609	0.1486747	0.0947173	0.0710319	0.0270905	0.0543402	0.7600912	0.0035510	-9.227
3000	0.1539046	0.1354355	0.0929850	0.0663609	0.0253909	0.0469689	0.9192433	0.0012115	-6.023
3500	0.1765019	0.1509649	0.1037910	0.0774151	0.0294943	0.0518133	0.7607239	0.0575891	-4.077
4000	0.1812752	0.1498649	0.0954184	0.0674532	0.0316169	0.0564344	0.7701876	0.0043011	-9.193
4500	0.1836007	0.1553156	0.0986185	0.0739349	0.0254856	0.0557117	0.7719865	0.0107783	-8.558
5000	0.1719463	0.1546346	0.1030334	0.0761552	0.0306725	0.0536703	0.7488132	0.0068256	-3.646
5500	0.1673018	0.1590590	0.1074949	0.0782927	0.0287321	0.0514847	0.7487015	0.0040197	-5.568
6000	0.1483963	0.1343237	0.0865389	0.0665972	0.0245026	0.0432412	0.9440477	0.0004512	-5.868
6500	0.1585245	0.1509298	0.0963011	0.0706843	0.0286867	0.0525090	0.8547512	0.0087397	-3.535
7000	0.1884071	0.1591653	0.0936103	0.0670037	0.0282494	0.0650170	0.8273868	0.0169916	-2.721
7500	0.1503685	0.1399381	0.0984278	0.0700681	0.0314968	0.0464843	0.9061788	0.0057797	-4.849
8000	0.1707631	0.1472324	0.0926791	0.0690790	0.0283923	0.0526244	0.8566966	0.0039300	-2.375
8500	0.1674279	0.1600696	0.1041019	0.0763432	0.0267267	0.0580429	0.7783079	0.0113854	-5.307
9000	0.1747822	0.1471008	0.0883302	0.0638353	0.0248008	0.0548529	0.8507960	0.0097987	-7.274
